Spec/Specs,Price(AUD),Product summary,Product name,product description,Product Image,Product image url,Total Quantity,Current Quantity,stock change,Unit,collection,published,Unit price AUD,Unit price,Total,Ready
JDWE2302046,39,New Arrival 18K Gold Plated Stainless Steel heart hoop texture Drop Earring,Heart Hoop Texture Drops,"Make a bold statement with our New Arrival Heart Hoop Texture Drops - 18k gold-plated stainless steel earrings featuring a heart hoop design. The textured drop adds a contemporary edge to these waterproof earrings, making them a versatile and stylish choice. Elevate your look with the modern and chic Heart Hoop Texture Drops, perfect for women who want to express their unique sense of style through their accessories.",,https://sc04.alicdn.com/kf/Hd1cdbb4205194d638274839deaa89dfeE.jpg_100x100.jpg,6,6,,Pieces,,,2.88,USD 1.9300,USD 11.58,
JDE201842-BK,39,18k Gold pvd Plated Stainless Steel Earrings Jewelry Black agate Sun Pendant hoop Earrings women,Black Agate Sun Hoops,"Embrace sophistication with our Black Agate Sun Hoops - 18k gold PVD plated stainless steel earrings featuring a black agate sun pendant. The waterproof design ensures durability, while the unique design adds a touch of luxury to your ensemble. Elevate your style effortlessly with these versatile and stylish earrings, perfect for women who appreciate the fusion of classic and contemporary elements.",,https://sc04.alicdn.com/kf/H09555f545330492ca191e408d11b4e84H.jpg_100x100.jpg,6,6,,Pieces,,,3.32,USD 2.2300,USD 13.38,
JDE201586,59,18k Gold Double Plated Pink Rhombus Natural Stone Pendant Stainless Steel Huggie Earrings For Women,Pink Rhombus Huggies,"Make a statement with our Pink Rhombus Huggies - 18k gold double-plated stainless steel earrings featuring a natural stone pendant. The huggie design ensures a secure fit, while the pink rhombus adds a pop of color and elegance. Elevate your look with these stylish and durable earrings, perfect for women who want to stand out with their accessories.",,https://sc04.alicdn.com/kf/H22d3bbbc04eb4de2babf5b3f4a4f4a07l.jpg_100x100.jpg,6,6,,Pieces,,,4.99,USD 3.3500,USD 20.10,
JDE2023014,39,18k Gold Plated Stainless Steel White Natural Shell Heart Shape Lock Design Pendant Earrings,Shell Lock Pendant Elegance,"Discover the elegance of our Shell Lock Pendant Elegance - 18k gold-plated stainless steel earrings featuring a white natural shell heart shape lock design. The timeless design and waterproof feature make these earrings a must-have in your jewelry collection. Elevate your style effortlessly with the exquisite Shell Lock Pendant Elegance, perfect for women who appreciate classic and elegant accessories.",,https://sc04.alicdn.com/kf/Hd566192d50df4c87aa2f28cd92f44ed6e.jpg_100x100.jpg,6,6,,Pieces,,,3.10,USD 2.0800,USD 12.48,
JDE202257-BE,44,18k Gold Plated Turquoise Hollow Evil Eyes Tarnish Free Stainless Steel Drop Earrings For Gift,Turquoise Evil Eyes Drops,"Ward off negativity with our Turquoise Evil Eyes Drops - 18k gold-plated stainless steel earrings featuring hollow evil eyes with turquoise accents. The tarnish-free design ensures durability, while the unique design adds a touch of mystique to your ensemble. Elevate your look with these stylish and versatile earrings, perfect for women who want to make a bold statement with their accessories.",,https://sc04.alicdn.com/kf/H4ae14f1b6646449f92d826a7ba59bfe2l.jpg_100x100.jpg,4,4,,Pieces,,,3.32,USD 2.2300,USD 8.92,
JDE201867-GN,44,18K Gold Plated Stainless Steel Green Cubic ZirconiaJewelry CC Shaped Twist Earrings for women,CC Shaped Twist Earrings,"Unleash your style with our CC Shaped Twist Earrings - 18k gold-plated stainless steel earrings featuring green cubic zirconia. The twist design adds a modern flair, while the waterproof feature ensures longevity. Elevate your style effortlessly with these chic and fashionable earrings, perfect for women who want to showcase their unique sense of style.",,https://sc04.alicdn.com/kf/H97766a9aff3241148f1f3edee3655134Z.jpg_100x100.jpg,6,6,,Pieces,,,4.72,USD 3.1700,USD 19.02,
JDEW2306037-BL,49,J&D Chunky Jewelry Stainless Steel Enamel Eye Hoop Earring 18K Gold Plated Pearl Blue Devil's Eye Drop Earrings,Blue Devil's Eye Drops,Channel your inner diva with J&D Chunky Jewelry's Blue Devil's Eye Drops - stainless steel enamel eye hoop earrings featuring 18k gold plating and pearl blue devil's eye drops. These chunky and statement-making earrings are perfect for adding a touch of boldness to your look. Elevate your style with,,https://sc04.alicdn.com/kf/H6bac56613e9a44a786e88a99e5f6840aN.jpg_100x100.jpg,6,5,-1 broken,Pieces,,,3.49,USD 2.3400,USD 14.04,
JDWE2302008,$24,Geometric Jewelry 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earring for Women,GeoSphere Studs,"Elevate your style with our Geometric Jewelry—a pair of 18K Real Gold Plated Stainless Steel Simple Round Ball Stud Earrings. Minimalist, yet chic, these earrings effortlessly blend elegance with modernity, perfect for any occasion. Crafted with precision, they're a must-have for women seeking timeless sophistication.",,https://sc04.alicdn.com/kf/Hecf9473fbc1847f89bf6048c1989f5c9Y.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,1.33,USD 0.8900,USD 5.34,Yes
JDWE2301017,39,Fashion Jewelry Stainless Steel starfish ocean series Hoop Earring for Women or Girls,Coogee Beach Hoops,"Timeless and elegant, the Coogee Beach Hoops with Starfish Pendant are a stainless steel marvel from our Ocean Collection. This minimalist earring features a starfish pendant, capturing the enduring charm of the sea. Plated in 18K gold, these hoops are hypoallergenic, waterproof, and nickel-free for a look that stands the test of time.",,https://sc04.alicdn.com/kf/Ha7ab7584e1dc4f4d89035311f1d7f6eaT.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,2.67,USD 1.7900,USD 10.74,Yes
JDE020385-1,39,Dropshipping Geometric PVD Gold Plated Thick Hoop Earrings Wedding Stainless Steel Wide Chunky CC Hoop Earrings for Women,Chunky Charm Hoops,"Introducing our Dropshipping Geometric PVD Gold Plated Thick Hoop Earrings—a bold statement in wedding and party fashion. Crafted with Stainless Steel, these wide chunky CC hoops redefine elegance. The perfect blend of trend and tradition, they promise durability and style. Step into the spotlight with these attention-grabbing earrings.",,https://sc04.alicdn.com/kf/Hed8ff8eda81f415fadbab89e4165c290w.jpg_100x100.jpg,2,2,Sergio to confirm,Pieces,,,2.62,USD 1.7600,USD 3.52,
Opal,44,New Trend Lapis Jade Opal Freshwater Pearl Huggie Earrings semi-precious stone Hoop Earring,Opal Essence Huggies,"Experience the New Trend with our Lapis Jade Opal Freshwater Pearl Huggie Earrings. Adorned with semi-precious stones, these hoop earrings are a blend of elegance and bohemian charm. The perfect accessory for those seeking a touch of nature's beauty in their daily style. Discover a world of color and sophistication with this unique jewelry piece.",,https://sc04.alicdn.com/kf/H0feee0f6bde048c0a93a392e420322eav.jpg_100x100.jpg,1,1,,Pieces,,,2.97,USD 1.9900,USD 1.99,
JDWE2303025-20,36,Waterproof 18K Gold Plated Stainless Steel Jewelry Big Twist Circle Geometric Hoop Earrings for Women,Circle Twist Elegance,"Embrace sophistication with our Waterproof 18K Gold Plated Stainless Steel Jewelry. The Big Twist Circle Geometric Hoop Earrings for Women redefine contemporary style. These earrings are not only fashionable but also durable, making them ideal for any occasion. Elevate your look with this chic and versatile accessory.",,https://sc04.alicdn.com/kf/Hd86b20273c914eb49b3a65dd3ca6acb8r.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,1.77,USD 1.1900,USD 7.14,Yes
JDWN2302003,59,18K Gold Plated Stainless Steel Bracelet Jewelry Set Charm Natural Stone Choker Necklace Set for Women,Palm Beach Necklace,"Experience the natural beauty of the Palm Beach Necklace, a stainless steel creation adorned with captivating natural stones. This necklace, designed to complement our Obelisk bracelet, is a perfect match for those who appreciate understated elegance. Hypoallergenic, waterproof, and nickel and tarnish-free, it's a true embodiment of refined style.",,https://sc04.alicdn.com/kf/H608c98dc5efd4ab48664ce432b28966eX.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,6.21,USD 4.1700,USD 25.02,Yes
JDNP791-1,59,Waterproof 18K Gold Plated Stainless Steel Double Layer Freshwater Pearl Choker Necklace,Suzy's Dazzling Double Pearl Choker,"Make a bold statement with our Waterproof 18K Gold Plated Stainless Steel Necklace. The Double Layer Freshwater Pearl Choker Necklace seamlessly blends luxury with modern design. Waterproof and durable, this necklace is a symbol of timeless elegance, perfect for any occasion.",,https://sc04.alicdn.com/kf/H86aaf21e2ea540a7b292a44251e2382dF.jpg_100x100.jpg,6,4,"-1 Natalia
-1 Sergio sold one",Pieces,pearl,Yes,6.08,USD 4.0800,USD 24.48,
JDNW2306038,79,J&D Hot Style 18K Gold Plated Necklace Devil's Eye 3-layers Stainless Steel Women Jewelry Necklace,Devil's Eye Necklace,Step into the spotlight with our J&D Hot Style 18K Gold Plated Necklace featuring Devil's Eye. The 3-layers Stainless Steel design adds an edge to your look. Embrace a touch of mystique and modernity with this eye-catching necklace. Perfect for those who dare to stand out in style.,,https://sc04.alicdn.com/kf/H817b3435e3e64cf1b44552d365ae751cq.jpg_100x100.jpg,6,6,- ,Pieces,,,5.33,USD 3.5800,USD 21.48,
JDN21078,59,Vintage 18K Gold Plated Paperclip Box Chain Layered Necklace Stainless Steel Triple Layer Necklace,Triple Layered Vintage,"Elevate your style with the Vintage 18K Gold Plated Paperclip Box Chain Layered Necklace. Crafted with Stainless Steel, this triple-layered necklace exudes sophistication and charm. Make a fashion statement that transcends trends with this timeless piece, perfect for any occasion.",,https://sc04.alicdn.com/kf/H86bbb723b2e44e809a4e97181b43df1ch.jpg_100x100.jpg,6,5,-1 Broken,Pieces,,,3.55,USD 2.3800,USD 14.28,
JDN2305038,79,New Arrival 18k Gold Plated White Fritillaria Heart Shape Necklace Stainless Steel Pendant for Women,Fritillaria Heart Pendant,"Unveil romance with our New Arrival 18k Gold Plated White Fritillaria Heart Shape Necklace. The Stainless Steel pendant adds a touch of elegance to your ensemble. Perfect for special occasions or daily wear, this necklace is a symbol of love and sophistication.",,https://sc04.alicdn.com/kf/H676af12f4db54f25b27c535826c41e8cy.jpg_100x100.jpg,6,6,,Pieces,,,3.56,USD 2.3900,USD 14.34,
JDNW2303019,39,Minimalist 18K Gold Plated Tassel Spine Choker Necklace Stainless Steel Fishbone Chain Necklace Bracelet Women,Clovelly Beach Necklace,"Embrace minimalism with the Clovelly Beach Necklace, a stainless steel masterpiece featuring a Fishbone design. This necklace from our Ocean Collection is a symbol of sleek elegance. Hypoallergenic, waterproof, and free from nickel and tarnish, it's a versatile piece for those who appreciate refined simplicity.",,https://sc04.alicdn.com/kf/Ha14f56ed5c5d4d63b4d26b15ea1e142cy.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,2.67,USD 1.7900,USD 10.74,Yes
JDN20672,45,Dainty PVD 18K Gold Plated Twisted Rope Unisex Chain Necklace Hip Pop Custom Jewelry For Daily,Twisted Rope Charm,"Make a statement with our Dainty PVD 18K Gold Plated Twisted Rope Unisex Chain Necklace. The hip-pop custom jewelry is perfect for daily wear, adding a touch of glamour to your look. Crafted with precision, this necklace is a versatile accessory that complements any style.",,https://sc04.alicdn.com/kf/H28e00186d0954677a8f557a1931319e6L.jpg_100x100.jpg,6,6,,Pieces,,,2.88,USD 1.9300,USD 11.58,
JDNW2307016,49,J&D Jewelry Ocean Series 18K Gold Plated Stainless Steel Starfish Chunky Pendant Necklace for Girls,Coogee Beach Necklace,"Embrace the allure of the ocean with the Coogee Beach Necklace featuring a Starfish Pendant. Crafted from stainless steel, this necklace is a symbol of timeless beauty and sophistication. The starfish pendant adds a touch of marine grace. Hypoallergenic, waterproof, and nickel and tarnish-free, it effortlessly complements any outfit.",,https://sc04.alicdn.com/kf/H4d25597de0384baf9dcb1b76799369bfo.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,2.55,USD 1.7100,USD 10.26,Yes
JDNW2307015,49,J&D Tarnish Free Stainless Steel Gold Plated Fashion Jewelry Shell Necklaces For Women Moissanite Gold Necklace,Bondi Beach Necklace,"Embrace luxury with our Bondi Beach Necklace. The moissanite gold necklace adds a touch of opulence to your ensemble. Elevate your style with this chic and sophisticated accessory, perfect for special occasions or everyday glamour.",,https://sc04.alicdn.com/kf/H02ed3fd780834ccdb48daba805169545g.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,2.88,USD 1.9300,USD 11.58,Yes
Bracelet pearl,49,18K Gold Plated Stainless Steel Baroque Freshwater Pearl Rectangular Link Chain Bracelet,Paloma's Timeless Baroque Link,"Adorn your wrist with elegance using our 18K Gold Plated Stainless Steel Baroque Freshwater Pearl Bracelet. The rectangular link chain bracelet is a timeless piece that adds sophistication to any ensemble. Perfect for special occasions or daily wear, this bracelet is a symbol of classic charm.",,https://sc04.alicdn.com/kf/Hf2107765a5e94fdeaa7acf82238ec89dR.jpg_100x100.jpg,2,2,,Pieces,pearl,Yes,5.08,USD 3.4100,USD 6.82,
JDBW2306016,45,J&D Luxury 18K Gold Plated Earrings Stainless Steel Evil Turquoise Pearl Dangle Earrings Jewelry Women,Evil Turquoise Dangles,"Make a statement with our J&D Luxury 18K Gold Plated Earrings featuring Evil Turquoise Pearl Dangle Earrings. Crafted with Stainless Steel, these earrings exude elegance and charm. Perfect for women seeking unique and luxurious accessories that stand out in any crowd.",,https://sc04.alicdn.com/kf/H31023bd9c1c44b5d9fffd0790c919d0a0.jpg_100x100.jpg,6,6,,Pieces,,,2.88,USD 1.9300,USD 11.58,
JDB201496,39,Luxury 18K Gold Plated Stainless Steel Glass Pearl Bracelet,Sofia's Pearl Splendor,"Elevate your wrist with our Luxury 18K Gold Plated Stainless Steel Jewelry Gift Bead Chain Glass Pearl Bracelet. The perfect accessory for women who appreciate classic elegance with a modern twist. This bracelet adds a touch of sophistication to any ensemble, making it an ideal gift or personal indulgence.",,https://sc04.alicdn.com/kf/H97fb4d1a1b134241ba7f92f084626f07m.jpg_100x100.jpg,2,2,,Pieces,pearl,Yes,3.32,USD 2.2300,USD 4.46,
JDB2303002,49,Stainless Steel 18K Gold Heart beaded Bracelet for Girls Women,Heart Beaded Elegance,"Embrace love with our Stainless Steel 18K Gold Heart Beaded Bracelet. The perfect blend of romance and modernity, this bracelet is a symbol of timeless elegance. Ideal for girls and women, it adds a touch of sophistication to your wrist, perfect for any occasion.",,https://sc04.alicdn.com/kf/H5b6a21ae7f2946cc9f7d02e4ef9f7e9b7.jpg_100x100.jpg,2,2,,Pieces,,,4.63,USD 3.1100,USD 6.22,
JDB201049,29,Hot Selling 18K Gold Plated Stainless Steel Bracelet Set Miami Cuban Chain Bangle Flat Snake Stacking Bracelet For Women,Miami Cuban Stack,"Stack up style with our Hot Selling 18K Gold Plated Stainless Steel Bracelet Set. The Miami Cuban Chain Bangle and Flat Snake Stacking Bracelet redefine wrist fashion. Crafted with precision, these bracelets are ideal for women who love to make a bold statement with their jewelry.",,https://sc04.alicdn.com/kf/H716dbd43e5f24629bb58b4635ba4250cc.jpg_100x100.jpg,6,6,,Pieces,,,2.00,USD 1.3400,USD 8.04,
Bracelet one pearl,$39,INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets For Women Freshwater Baroque Pearl Bracelet,Suzy Bracelet,"Adorn your wrist with our INS 18k Gold Plated Stainless Steel Figaro Chain Bracelets. The Freshwater Baroque Pearl Bracelet adds a touch of classic elegance. Versatile and timeless, this bracelet is perfect for daily wear or special occasions, making it a must-have in your jewelry collection.",,https://sc04.alicdn.com/kf/H6a092d8909bf49a0b6444a4019eb71d6s.jpg_100x100.jpg,2,2,,Pieces,pearl,Yes,3.34,USD 2.2400,USD 4.48,
JDEW2305028-GN,$79,Fashion 18K Gold Plated Stainless Steel Turquoise Lapis Lazuli Natural Stones Beads Hoop Earring,Palm Beach Earrings,"Introducing the Palm Beach Earring, a luxurious addition to our Ocean Collection. Crafted with 18K gold-plated stainless steel, these earrings feature turquoise and lapis lazuli, capturing the essence of the ocean's vibrant hues. Hypoallergenic, waterproof, and free from nickel and tarnish, these earrings are a celebration of elegance and natural beauty.",,https://sc04.alicdn.com/kf/H3eadee98de58407aaede0a1fb3586641m.jpg_100x100.jpg,6,6,,Pieces,ocean,Yes,5.77,USD 3.8700,USD 23.22,Yes
JDE2023245-WT,$79,Sparkle Micro Cubic Zircon Chunky Shiny 18k PVD Gold Plated Stainless Steel Hoop Earrings Huggie Jewelry,Celestial Radiance Hoops,Experience the celestial allure with these Sparkle Micro Cubic Zircon Chunky Shiny Hoop Earrings. 18k PVD Gold Plated Stainless Steel brings lasting brilliance to your jewelry collection.,,https://sc04.alicdn.com/kf/Hd9a86affa38743fdb6b529b419167f3dj.jpg,6,6,,Pieces,,,6.68,4.48,,
JDE201886,49,Dropshipping Geometric PVD Gold Plated Thick Hoop Earrings Wedding Stainless Steel Wide Chunky CC Hoop Earrings for Women,Golden Embrace Hoops,"Make a bold statement with our Dropshipping Geometric Hoop Earrings. These thick, PVD gold-plated stainless steel hoops are designed for weddings and beyond. The wide, chunky CC hoop style adds a touch of sophistication to any look.",,https://s.alicdn.com/@sc04/kf/Hdcaab7b0b6b84dbdb3f67958364ddcfa7.jpg_960x960.jpg,2,2,,Pieces,,,4.44,2.98,,
Rose Quartz,44,New Trend Lapis Jade Opal Freshwater Pearl Huggie Earrings semi-precious stone Hoop Earring,Gemstone Serenity Huggies,"Discover the New Trend with our Rose Quartz Huggie Earrings. Adorned with Lapis, Jade, Opal, and Freshwater Pearl, these semi-precious stone Hoop Earrings bring a touch of serenity to your style.",,https://s.alicdn.com/@sc04/kf/Ha694b045d6eb4648bed44233e3524658Q.jpg_720x720q50.jpg,1,1,,Pieces,,,2.97,1.99,,
JDWB2302004,39,18K Gold Plated Stainless Steel Bracelet Jewelry Set Charm Natural Stone Choker Necklace Set for Women,Palm Beach Bracelet,"Elevate your wrist with the Palm Beach Bracelet, a stainless steel piece featuring a stunning natural stone. This bracelet, part of our Ocean Collection, is a statement of simplicity and sophistication. Hypoallergenic, waterproof, and free from nickel and tarnish, it adds a touch of natural allure to your ensemble.",,https://s.alicdn.com/@sc04/kf/H61426005c81b40d48dd7b7c59b5d67b8V.jpg_960x960.jpg,6,6,,Pieces,ocean,Yes,3.32,2.23,,Yes
JDBW2303023,34,Minimalist 18K Gold Plated Tassel Spine Choker Necklace Stainless Steel Fishbone Chain Necklace Bracelet Women,Clovelly Beach Bracelet,"Adorn your wrist with the Clovelly Beach Bracelet, a stainless steel piece with a minimalist Fishbone design. This bracelet, part of our Ocean Collection, is a testament to understated sophistication. Hypoallergenic, waterproof, and free from nickel and tarnish, it's a perfect accessory for any occasion.",,https://s.alicdn.com/@sc04/kf/H11f3a8caa81044039ee7e1c1c345fe8f7.jpg_960x960.jpg,6,6,,Pieces,ocean,Yes,1.55,1.04,,Yes
